图像类别       图像数量  正确数量
1 barrel           47      12
2 chair            62      22
3 elephant         64      19
4 ewer             85      38
5 flamingo         67      11
6 grand_piano      99      18
7 hawksbill        100     34
8 hedgehog         54      21
9 lamp             61      29
10 nautilus        55      40
11 revolver        82      23
12 schooner        63      46
13 scorpion        84      32
14 soccer_ball     64      16
15 starfish        86      69
16 strawberry      35      9
17 tick            49      18
18 trilobite       86      16
